-75.27362,39.8763,0.2869,
1434,34709 ,36624 ,Aggravated Assault No Firearm,15423
1435,39437 ,17801 ,Robbery No Firearm,15423
1436,33981 ,61414 ,Burglary Residential,15424
1437,34713 ,66268 ,Burglary Residential,15426
1438,81434 ,55708 ,Robbery No Firearm,15434
1439,45786 ,28186 ,Theft from Vehicle,15439
1440,17476 ,24938 ,Robbery Firearm,15441
1441,59483 ,45467 ,Aggravated Assault No Firearm,15442
1442,41095 ,65127 ,Motor Vehicle Theft,15455
1443,48508 ,47207 ,Robbery Firearm,15457
1444,80386 ,51417 ,Burglary Residential,15462
1445,68125 ,56002 ,Burglary Residential,15463
1446,16086 ,15716 ,Burglary Residential,15470
1447,62785 ,54000 ,Motor Vehicle Theft,15478
1448,39978 ,45829 ,Burglary Residential,15488
1449,34173 ,55946 ,Aggravated Assault Firearm,15489
1450,63854 ,48556 ,Rape,15492
1451,44057 ,52749 ,Robbery No Firearm,15495
1452,53145 ,34503 ,Burglary Residential,15496
1453,67396 ,58321 ,Theft from Vehicle,15496
1454,33136 ,20601 ,Aggravated Assault No Firearm,15514
1455,68327 ,52797 ,Burglary Residential,15514
1456,98514 ,86738 ,Burglary Residential,15521
1457,43953 ,17946 ,Theft from Vehicle,15524
1458,24551 ,31914 ,Robbery No Firearm,15548
1459,34619 ,30839 ,Theft from Vehicle,15564
1460,24318 ,28280 ,Robbery No Firearm,15567
1461,41334 ,50617 ,Rape,15578
1462,90436 ,63562 ,Motor Vehicle Theft,15583
1463,66289 ,48227 ,Motor Vehicle Theft,15595
1464,47893 ,30035 ,Theft from Vehicle,15600
1465,33675 ,17356 ,Burglary Residential,15610
1466,54609 ,35271 ,Burglary Residential,15615
1467,30605 ,62098 ,Burglary Residential,15620
1468,44080 ,48080 ,Burglary Residential,15627
1469,64838 ,47502 ,Aggravated Assault No Firearm,15629
1470,45563 ,30338 ,Burglary Residential,15638
1471,48240 ,36109 ,Theft from Vehicle,15638
1472,12551 ,38365 ,Robbery No Firearm,15644
1473,12743 ,58159 ,Theft from Vehicle,15664
1474,41727 ,42007 ,Robbery Firearm,15671
1475,17037 ,31182 ,Robbery Firearm,15690
1476,36591 ,39978 ,Aggravated Assault No Firearm,15697
1477,66597 ,56980 ,Theft from Vehicle,15707
1478,82896 ,56042 ,Aggravated Assault Firearm,15723
1479,50338 ,62492 ,Robbery Firearm,15726
1480,59967 ,40003 ,Theft from Vehicle,15752
1481,57057 ,35948 ,Robbery No Firearm,15764
1482,40290 ,63848 ,Burglary Residential,15767
1483,38758 ,22171 ,Aggravated Assault No Firearm,15770
1484,60508 ,57668 ,Motor Vehicle Theft,15771
1485,14034 ,17442 ,Burglary Non-Residential,15772
1486,63355 ,54334 ,Robbery No Firearm,15773
1487,100023 ,80843 ,Burglary Non-Residential,15775
1488,39962 ,30470 ,Theft from Vehicle,15788
1489,37802 ,21370 ,Robbery Firearm,15794
1490,80721 ,52327 ,Aggravated Assault No Firearm,15800
1491,11289 ,29062 ,Aggravated Assault Firearm,15813
1492,31830 ,15524 ,Motor Vehicle Theft,15813
1493,14817 ,29417 ,Motor Vehicle Theft,15826
1494,34046 ,54024 ,Burglary Residential,15856
1495,37776 ,42789 ,Robbery Firearm,15885
1496,75436 ,76807 ,Theft from Vehicle,15899
1497,65664 ,53206 ,Burglary Non-Residential,15959
1498,67024 ,55472 ,Motor Vehicle Theft,15965
1499,14558 ,23955 ,Aggravated Assault No Firearm,16060
1500,84097 ,68050 ,Burglary Non-Residential,16083
1501,17199 ,34300 ,Burglary Non-Residential,16097
1502,43609 ,66303 ,Aggravated Assault No Firearm,16098
1503,31965 ,70342 ,Theft from Vehicle,16135
1504,72080 ,57635 ,Motor Vehicle Theft,16175
1505,56041 ,39991 ,Motor Vehicle Theft,16178
1506,31068 ,23014 ,Theft from Vehicle,16269
1507,34752 ,32529 ,Theft from Vehicle,16282
1508,66543 ,59572 ,Burglary Residential,16319
1509,15454 ,28273 ,Theft from Vehicle,16347
1510,39678 ,31045 ,Aggravated Assault No Firearm,16348
1511,36170 ,27132 ,Burglary Non-Residential,16352
1512,65017 ,63395 ,Burglary Non-Residential,16355
1513,44549 ,37043 ,Motor Vehicle Theft,16356
1514,48500 ,42857 ,Theft from Vehicle,16358
1515,18417 ,52316 ,Theft from Vehicle,16365
1516,54801 ,60097 ,Motor Vehicle Theft,16389
1517,69451 ,57938 ,Motor Vehicle Theft,16403
1518,76180 ,57153 ,Aggravated Assault No Firearm,16406
1519,46155 ,38763 ,Burglary Residential,16421
1520,61269 ,45797 ,Theft from Vehicle,16421
1521,55544 ,59432 ,Motor Vehicle Theft,16449
1522,44612 ,34632 ,Motor Vehicle Theft,16455
1523,64224 ,54006 ,Motor Vehicle Theft,16456
1524,68669 ,58035 ,Theft from Vehicle,16456
1525,70789 ,57611 ,Motor Vehicle Theft,16465
1526,54047 ,37108 ,Burglary Non-Residential,16469
1527,77946 ,49940 ,Theft from Vehicle,16477
1528,68012 ,59035 ,Burglary Residential,16498
1529,89588 ,75829 ,Theft from Vehicle,16499
1530,41523 ,25558 ,Theft from Vehicle,16503
1531,39854 ,17150 ,Robbery No Firearm,16507
1532,74893 ,58574 ,Motor Vehicle Theft,16512
1533,50534 ,46993 ,Aggravated Assault No Firearm,16514
1534,15566 ,34740 ,Burglary Residential,16522
1535,35652 ,29942 ,Burglary Non-Residential,16526
1536,88521 ,56741 ,Burglary Residential,16535
1537,83405 ,55117 ,Burglary Residential,16549
1538,14585 ,34195 ,Burglary Residential,16552
1539,43678 ,40153 ,Robbery No Firearm,16571
1540,44880 ,30153 ,Theft from Vehicle,16577
1541,46470 ,31402 ,Theft from Vehicle,16586
1542,45999 ,44391 ,Burglary Residential,16589
1543,67079 ,70201 ,Theft from Vehicle,16603
1544,16882 ,28641 ,Robbery Firearm,16614
1545,70817 ,58801 ,Motor Vehicle Theft,16639
1546,39119 ,36590 ,Aggravated Assault No Firearm,16643
1547,46853 ,31251 ,Theft from Vehicle,16676
1548,66700 ,60101 ,Burglary Residential,16692
1549,57467 ,42752 ,Motor Vehicle Theft,16712
1550,31440 ,37646 ,Burglary Residential,16716
1551,38624 ,53595 ,Burglary Residential,16739
1552,69920 ,39016 ,Burglary Non-Residential,16746
1553,45462 ,59053 ,Robbery No Firearm,16763
1554,35051 ,20387 ,Burglary Residential,16783
1555,50831 ,43833 ,Motor Vehicle Theft,16796
1556,10963 ,29897 ,Aggravated Assault No Firearm,16812
1557,53252 ,42549 ,Burglary Residential,16812
1558,66565 ,59889 ,Theft from Vehicle,16816
1559,40489 ,63454 ,Burglary Residential,16823
1560,45068 ,12907 ,Theft from Vehicle,16840
1561,8510 ,31593 ,Rape,16841
1562,8978 ,36147 ,Robbery No Firearm,16845
1563,55473 ,41704 ,Robbery No Firearm,16849
1564,57587 ,55357 ,Theft from Vehicle,16850
1565,18170 ,20963 ,Burglary Residential,16852
1566,36734 ,19299 ,Motor Vehicle Theft,16853
1567,45645 ,16097 ,Robbery No Firearm,16856
1568,71685 ,59849 ,Robbery No Firearm,16856
1569,59430 ,42080 ,Robbery No Firearm,16861
1570,41318 ,44317 ,Theft from Vehicle,16866
1571,36492 ,31300 ,Theft from Vehicle,16867
1572,35944 ,23510 ,Robbery No Firearm,16872
1573,75409 ,53621 ,Theft from Vehicle,16875
1574,67028 ,47139 ,Burglary Residential,16878
1575,52828 ,41691 ,Theft from Vehicle,16884
1576,65381 ,51556 ,Motor Vehicle Theft,16887
1577,48390 ,38593 ,Burglary Residential,16892
1578,15908 ,17113 ,Burglary Residential,16894
1579,43126 ,42193 ,Aggravated Assault No Firearm,16902
1580,77241 ,74368 ,Burglary Residential,16902
1581,37606 ,55533 ,Aggravated Assault No Firearm,16905
1582,48332 ,35206 ,Robbery No Firearm,16914
1583,61119 ,41345 ,Theft from Vehicle,16921
1584,47236 ,33183 ,Burglary Residential,16928
1585,53239 ,39980 ,Aggravated Assault Firearm,16929
1586,21042 ,30662 ,Robbery Firearm,16937
1587,33003 ,20912 ,Robbery No Firearm,16938
1588,8641 ,3566 ,Theft from Vehicle,16944
1589,61180 ,46811 ,Theft from Vehicle,16958
1590,39844 ,25534 ,Theft from Vehicle,16959
1591,36212 ,17992 ,Burglary Residential,16961
1592,46719 ,34463 ,Motor Vehicle Theft,16965
1593,39797 ,33169 ,Robbery No Firearm,16966
1594,46197 ,56489 ,Aggravated Assault No Firearm,16986
1595,37200 ,21454 ,Robbery No Firearm,16988
1596,2369 ,33166 ,Aggravated Assault Firearm,16989
1597,12992 ,29142 ,Burglary Residential,16991
1598,90751 ,59477 ,Theft from Vehicle,16999
1599,83665 ,68476 ,Motor Vehicle Theft,17000
1600,105762 ,70484 ,Theft from Vehicle,17000
1601,54521 ,54131 ,Motor Vehicle Theft,17024
1602,77084 ,52827 ,Burglary Residential,17032
1603,32444 ,64005 ,Burglary Residential,17034
1604,9800 ,23556 ,Motor Vehicle Theft,17038
1605,45282 ,60904 ,Burglary Residential,17043
1606,18435 ,25820 ,Burglary Residential,17063
1607,37403 ,30198 ,Aggravated Assault No Firearm,17064
1608,49518 ,54204 ,Robbery Firearm,17079
1609,26723 ,29251 ,Burglary Residential,17091
1610,6976 ,6915 ,Burglary Residential,17094
1611,39602 ,38311 ,Burglary Residential,17095
1612,71111 ,58269 ,Burglary Residential,17098
1613,52193 ,52706 ,Robbery Firearm,17117
1614,77272 ,64499 ,Aggravated Assault No Firearm,17208
1615,43233 ,30249 ,Motor Vehicle Theft,17235
1616,15540 ,31462 ,Burglary Residential,17253
1617,84042 ,54117 ,Aggravated Assault No Firearm,17275
1618,37896 ,15009 ,Aggravated Assault No Firearm,17284
1619,34201 ,34988 ,Robbery No Firearm,17287
1620,42920 ,58587 ,Robbery Firearm,17298
1621,61080 ,46334 ,Burglary Residential,17303
1622,36328 ,31713 ,Theft from Vehicle,17320
1623,37251 ,50520 ,Motor Vehicle Theft,17326
1624,45659 ,56550 ,Robbery Firearm,17331
1625,18061 ,20894 ,Burglary Residential,17338
1626,68439 ,48980 ,Robbery Firearm,17350
1627,31346 ,34447 ,Burglary Residential,17375
1628,44036 ,39419 ,Aggravated Assault Firearm,17379
1629,17416 ,54388 ,Aggravated Assault Firearm,17385
1630,47259 ,43691 ,Robbery No Firearm,17385
1631,39854 ,23042 ,Robbery No Firearm,17398
1632,41624 ,41740 ,Burglary Non-Residential,17411
1633,53710 ,34804 ,Theft from Vehicle,17416
1634,62908 ,37922 ,Burglary Non-Residential,17420
1635,29889 ,30159 ,Aggravated Assault No Firearm,17429
1636,36084 ,24846 ,Burglary Residential,17442
1637,42915 ,62744 ,Theft from Vehicle,17450
1638,48189 ,33323 ,Aggravated Assault No Firearm,17458
1639,36084 ,24846 ,Burglary Residential,17470
1640,13258 ,17514 ,Aggravated Assault Firearm,17478
1641,43232 ,49016 ,Robbery Firearm,17530
1642,35577 ,22564 ,Burglary Residential,17550
1643,47259 ,43691 ,Aggravated Assault Firearm,17559
1644,47259 ,43691 ,Aggravated Assault Firearm,17559
1645,48189 ,33323 ,Aggravated Assault No Firearm,17576
1646,12608 ,28626 ,Robbery No Firearm,17614
1647,39075 ,56578 ,Aggravated Assault Firearm,17633
1648,23627 ,52078 ,Theft from Vehicle,17634
1649,32043 ,14628 ,Burglary Non-Residential,17677
1650,36502 ,18245 ,Theft from Vehicle,17699
1651,6838 ,37121 ,Theft from Vehicle,17712
1652,47674 ,32326 ,Robbery No Firearm,17721
1653,97081 ,73130 ,Theft from Vehicle,17737
1654,18227 ,30130 ,Burglary Non-Residential,17770
1655,60724 ,60439 ,Theft from Vehicle,17777
1656,33541 ,16229 ,Burglary Non-Residential,17786
1657,38271 ,38099 ,Theft from Vehicle,17792
1658,43092 ,56697 ,Theft from Vehicle,17797
1659,37029 ,20688 ,Robbery No Firearm,17803
1660,65739 ,69330 ,Motor Vehicle Theft,17819
1661,78585 ,82099 ,Theft from Vehicle,17821
1662,42915 ,62744 ,Theft from Vehicle,17829
1663,45820 ,43205 ,Rape,17831
1664,51012 ,58209 ,Burglary Residential,17838
1665,14527 ,53944 ,Aggravated Assault No Firearm,17850
1666,32365 ,36732 ,Burglary Non-Residential,17861
1667,37209 ,34293 ,Burglary Residential,17862
1668,15792 ,18675 ,Burglary Non-Residential,17867
1669,90763 ,64286 ,Burglary Residential,17867
1670,17048 ,21416 ,Motor Vehicle Theft,17868
1671,35880 ,30906 ,Robbery No Firearm,17870
1672,43594 ,19898 ,Theft from Vehicle,17870
1673,52215 ,53717 ,Theft from Vehicle,17873
1674,29699 ,30018 ,Theft from Vehicle,17876
1675,74411 ,63167 ,Burglary Non-Residential,17878
1676,26271 ,31936 ,Robbery Firearm,17886
1677,12308 ,14013 ,Motor Vehicle Theft,17887
1678,43565 ,65988 ,Rape,17888
1679,52329 ,52162 ,Motor Vehicle Theft,17896
1680,9442 ,36502 ,Robbery No Firearm,17897
1681,39985 ,37686 ,Burglary Non-Residential,17899
1682,81212 ,55271 ,Theft from Vehicle,17899
1683,90735 ,64394 ,Burglary Residential,17924
1684,42123 ,44008 ,Theft from Vehicle,17933
1685,17180 ,29945 ,Burglary Residential,17935
1686,74250 ,57248 ,Burglary Residential,17959
1687,40892 ,17589 ,Burglary Residential,17960
1688,7089 ,35541 ,Burglary Residential,17972
1689,32771 ,55630 ,Theft from Vehicle,17977
1690,8545 ,6638 ,Burglary Residential,17986
1691,40322 ,59943 ,Robbery Firearm,17986
1692,46664 ,41197 ,Burglary Non-Residential,18003
1693,71433 ,43756 ,Robbery No Firearm,18012
1694,55728 ,59945 ,Motor Vehicle Theft,18016
1695,74286 ,63035 ,Burglary Non-Residential,18017
1696,51244 ,37612 ,Aggravated Assault No Firearm,18033
1697,14473 ,34463 ,Theft from Vehicle,18038
1698,4920 ,37846 ,Aggravated Assault No Firearm,18060
1699,44620 ,25752 ,Motor Vehicle Theft,18062
1700,13909 ,11679 ,Burglary Residential,18066
1701,27072 ,20038 ,Burglary Residential,18073
1702,16258 ,17100 ,Aggravated Assault Firearm,18077
1703,50967 ,39186 ,Aggravated Assault No Firearm,18089
1704,56284 ,40364 ,Robbery No Firearm,18122
1705,68060 ,46416 ,Burglary Residential,18125
1706,72513 ,64739 ,Burglary Residential,18126
1707,52596 ,37016 ,Theft from Vehicle,18140
1708,61029 ,45851 ,Robbery No Firearm,18155
1709,44106 ,18767 ,Theft from Vehicle,18166
1710,29496 ,33844 ,Theft from Vehicle,18170
1711,31124 ,38810 ,Homicide - Criminal,18175
1712,36508 ,47446 ,Theft from Vehicle,18182
1713,33755 ,18663 ,Aggravated Assault No Firearm,18186
1714,59397 ,45295 ,Aggravated Assault No Firearm,18211
1715,13481 ,34072 ,Theft from Vehicle,18228
1716,32602 ,19106 ,Burglary Residential,18230
1717,47733 ,49399 ,Burglary Residential,18230
1718,39085 ,26401 ,Robbery No Firearm,18234
1719,15980 ,34063 ,Robbery Firearm,18236
1720,81366 ,79832 ,Burglary Residential,18277
1721,37636 ,18017 ,Theft from Vehicle,18284
1722,42852 ,47444 ,Aggravated Assault Firearm,18293
1723,39366 ,27774 ,Robbery No Firearm,18295
1724,11626 ,12741 ,Robbery No Firearm,18312
1725,14208 ,29512 ,Burglary Residential,18332
1726,24651 ,28239 ,Motor Vehicle Theft,18332
1727,46677 ,46990 ,Burglary Residential,18336
1728,44594 ,25749 ,Robbery No Firearm,18337
1729,49338 ,60916 ,Burglary Residential,18353
1730,71395 ,63821 ,Burglary Residential,18357
1731,39434 ,31497 ,Robbery Firearm,18365
1732,47469 ,52944 ,Burglary Residential,18367
1733,28944 ,58099 ,Robbery No Firearm,18372
1734,70759 ,47280 ,Motor Vehicle Theft,18390
1735,71309 ,70745 ,Burglary Residential,18417
1736,42068 ,43669 ,Robbery No Firearm,18419
1737,38978 ,58289 ,Burglary Residential,18425
1738,30854 ,34322 ,Robbery Firearm,18433
1739,52309 ,34512 ,Burglary Residential,18438
1740,60359 ,57368 ,Burglary Residential,18459
1741,16742 ,28107 ,Aggravated Assault No Firearm,18463
1742,104198 ,77120 ,Burglary Residential,18468
1743,42125 ,49875 ,Aggravated Assault No Firearm,18472
1744,45759 ,32018 ,Burglary Residential,18489
1745,44561 ,22554 ,Aggravated Assault No Firearm,18496
1746,44561 ,22554 ,Aggravated Assault No Firearm,18498
1747,40308 ,35712 ,Aggravated Assault No Firearm,18507
1748,66296 ,54717 ,Homicide - Gross Negligence,18516
1749,45672 ,27651 ,Theft from Vehicle,18518
1750,35419 ,62908 ,Aggravated Assault No Firearm,18529
1751,39120 ,47684 ,Burglary Residential,18539
1752,46816 ,54019 ,Aggravated Assault Firearm,18545
1753,45760 ,32027 ,Burglary Residential,18548
1754,13472 ,24666 ,Theft from Vehicle,18549
1755,34702 ,17602 ,Aggravated Assault No Firearm,18578
1756,55412 ,43392 ,Burglary Residential,18578
1757,17082 ,17303 ,Aggravated Assault Firearm,18604
1758,38828 ,24367 ,Aggravated Assault No Firearm,18604
1759,39784 ,63326 ,Burglary Residential,18631
1760,50077 ,40336 ,Motor Vehicle Theft,18632
1761,24616 ,32517 ,Aggravated Assault No Firearm,18637
1762,37956 ,36542 ,Aggravated Assault Firearm,18655
1763,14197 ,29494 ,Motor Vehicle Theft,18665
1764,105835 ,78299 ,Robbery No Firearm,18670
1765,51051 ,41656 ,Aggravated Assault No Firearm,18673
1766,14493 ,58913 ,Aggravated Assault No Firearm,18685
1767,38439 ,35008 ,Theft from Vehicle,18689
1768,51368 ,61127 ,Aggravated Assault No Firearm,18695
1769,52408 ,36593 ,Theft from Vehicle,18704
1770,92600 ,58831 ,Motor Vehicle Theft,18705
1771,38729 ,25363 ,Theft from Vehicle,18712
1772,19926 ,21582 ,Burglary Non-Residential,18719
1773,22841 ,51701 ,Motor Vehicle Theft,18723
1774,85831 ,68967 ,Burglary Non-Residential,18737
1775,20234 ,19932 ,Robbery No Firearm,18743
1776,67125 ,49435 ,Robbery Firearm,18763
1777,50530 ,36761 ,Burglary Residential,18769
1778,31294 ,18425 ,Burglary Residential,18785
1779,46742 ,47437 ,Aggravated Assault Firearm,18786
1780,39190 ,33227 ,Aggravated Assault No Firearm,18787
1781,46493 ,40338 ,Robbery No Firearm,18790
1782,47972 ,52222 ,Homicide - Criminal,18791
1783,42122 ,46705 ,Aggravated Assault No Firearm,18814
1784,70727 ,59258 ,Robbery Firearm,18818
1785,62948 ,53856 ,Robbery Firearm,18830
1786,45540 ,37186 ,Burglary Residential,18833
1787,38554 ,35411 ,Robbery No Firearm,18846
1788,13507 ,29601 ,Robbery No Firearm,18859
1789,91410 ,89311 ,Burglary Non-Residential,18861
1790,43803 ,25278 ,Homicide - Criminal ,18867
1791,42149 ,13245 ,Robbery No Firearm,18878
1792,39589 ,37467 ,Burglary Residential,18879
1793,49265 ,37790 ,Theft from Vehicle,18899
1794,46493 ,40338 ,Robbery No Firearm,18905
1795,17895 ,26746 ,Robbery No Firearm,18919
1796,45184 ,52583 ,Aggravated Assault No Firearm,18977
1797,24630 ,26513 ,Aggravated Assault No Firearm,19034
1798,40085 ,46123 ,Aggravated Assault No Firearm,19035
1799,47630 ,41535 ,Burglary Residential,19070
1800,80783 ,56107 ,Burglary Non-Residential,19109
1801,40596 ,64163 ,Aggravated Assault No Firearm,19112
1802,32631 ,33630 ,Theft from Vehicle,19126
1803,14381 ,19090 ,Robbery No Firearm,19171
1804,41657 ,15185 ,Theft from Vehicle,19187
1805,37454 ,57310 ,Motor Vehicle Theft,19191
1806,35182 ,43973 ,Theft from Vehicle,19218
1807,36502 ,16742 ,Burglary Non-Residential,19235
1808,55005 ,36083 ,Burglary Residential,19247
1809,40089 ,49500 ,Motor Vehicle Theft,19248
1810,82597 ,52865 ,Theft from Vehicle,19254
1811,14795 ,41221 ,Theft from Vehicle,19255
1812,15237 ,20376 ,Robbery No Firearm,19263
1813,68747 ,51302 ,Burglary Non-Residential,19268
1814,15697 ,26470 ,Theft from Vehicle,19274
1815,98099 ,78476 ,Motor Vehicle Theft,19281
1816,63429 ,40068 ,Burglary Non-Residential,19283
1817,104435 ,78129 ,Theft from Vehicle,19301
1818,104924 ,77361 ,Theft from Vehicle,19308
1819,16398 ,52886 ,Theft from Vehicle,19321
1820,64996 ,61015 ,Motor Vehicle Theft,19330
1821,67858 ,50507 ,Motor Vehicle Theft,19335
1822,30797 ,17879 ,Robbery Firearm,19364
1823,54609 ,50286 ,Motor Vehicle Theft,19372
1824,40214 ,29142 ,Theft from Vehicle,19400
1825,33707 ,56525 ,Burglary Non-Residential,19406
1826,54479 ,48942 ,Theft from Vehicle,19408
1827,31966 ,50242 ,Burglary Residential,19409
1828,60387 ,47570 ,Motor Vehicle Theft,19438
1829,53688 ,38989 ,Motor Vehicle Theft,19445
1830,46969 ,45762 ,Robbery Firearm,19452
1831,52372 ,35257 ,Robbery No Firearm,19452
1832,37431 ,64022 ,Robbery No Firearm,19462
1833,35377 ,21458 ,Aggravated Assault No Firearm,19477
1834,80219 ,63586 ,Theft from Vehicle,19477
1835,36325 ,30351 ,Theft from Vehicle,19491
1836,104938 ,78015 ,Theft from Vehicle,19500
1837,51412 ,50678 ,Burglary Non-Residential,19518
1838,31632 ,19955 ,Robbery No Firearm,19520
1839,32689 ,33182 ,Theft from Vehicle,19532
1840,61241 ,60155 ,Robbery Firearm,19554
1841,52018 ,44014 ,Motor Vehicle Theft,19610
1842,50745 ,51162 ,Robbery Firearm,19646
1843,41757 ,61410 ,Burglary Residential,19687
1844,46839 ,50163 ,Motor Vehicle Theft,19695
1845,87369 ,87914 ,Rape,19726
1846,75000 ,53190 ,Aggravated Assault No Firearm,19740
1847,91767 ,60299 ,Motor Vehicle Theft,19742
1848,51809 ,40790 ,Robbery No Firearm,19755
1849,38537 ,56369 ,Burglary Residential,19761
1850,33808 ,57254 ,Aggravated Assault No Firearm,19763
1851,15280 ,18571 ,Burglary Non-Residential,19764
1852,55912 ,41227 ,Burglary Residential,19765
1853,39404 ,59810 ,Burglary Residential,19802
1854,61084 ,43126 ,Theft from Vehicle,19802
1855,80459 ,74176 ,Burglary Residential,19815
1856,51675 ,42412 ,Theft from Vehicle,19848
1857,63876 ,47428 ,Aggravated Assault Firearm,19851
1858,91104 ,58215 ,Robbery No Firearm,19854
1859,13963 ,29563 ,Aggravated Assault No Firearm,19856
1860,34788 ,25872 ,Robbery No Firearm,19874
1861,36585 ,20190 ,Motor Vehicle Theft,19886
1862,75575 ,49690 ,Burglary Residential,19898
1863,40801 ,15295 ,Robbery No Firearm,19900
1864,40047 ,20522 ,Motor Vehicle Theft,19910
1865,37442 ,21036 ,Aggravated Assault No Firearm,19913
1866,41286 ,49431 ,Robbery Firearm,19916
1867,76249 ,73321 ,Burglary Residential,19932
1868,57420 ,48305 ,Robbery No Firearm,20015
1869,59549 ,44177 ,Robbery No Firearm,20052
1870,95916 ,60367 ,Burglary Residential,20068
1871,28750 ,58216 ,Robbery No Firearm,20076
1872,64834 ,55526 ,Robbery No Firearm,20091
1873,90622 ,60919 ,Burglary Residential,20093
1874,34859 ,36674 ,Burglary Residential,20115
1875,51094 ,39763 ,Aggravated Assault No Firearm,20120
1876,32506 ,22665 ,Burglary Residential,20123
1877,16293 ,32437 ,Theft from Vehicle,20126
1878,16264 ,32453 ,Aggravated Assault No Firearm,20137
1879,16572 ,27284 ,Robbery Firearm,20139
1880,36529 ,50512 ,Robbery Firearm,20142
1881,9790 ,32818 ,Rape,20146
1882,41648 ,57441 ,Burglary Residential,20158
1883,39221 ,66790 ,Motor Vehicle Theft,20168
1884,57666 ,42861 ,Aggravated Assault Firearm,20197
1885,84876 ,83636 ,Burglary Residential,20214
1886,91294 ,58984 ,Motor Vehicle Theft,20220
1887,60730 ,42481 ,Aggravated Assault No Firearm,20235
1888,64902 ,49554 ,Burglary Residential,20253
1889,70441 ,48653 ,Theft from Vehicle,20265
1890,26648 ,19628 ,Burglary Residential,20268
1891,57899 ,42317 ,Theft from Vehicle,20280
1892,82716 ,56491 ,Robbery Firearm,20281
1893,52273 ,35703 ,Aggravated Assault No Firearm,20296
1894,41470 ,57631 ,Burglary Residential,20297
1895,49818 ,51726 ,Motor Vehicle Theft,20303
1896,32377 ,19136 ,Aggravated Assault No Firearm,20321
1897,38249 ,47595 ,Motor Vehicle Theft,20324
1898,45659 ,56550 ,Robbery No Firearm,20370
1899,71699 ,60333 ,Motor Vehicle Theft,20382
1900,22514 ,52188 ,Aggravated Assault Firearm,20456
1901,65333 ,42787 ,Aggravated Assault Firearm,20462
1902,34441 ,21775 ,Robbery No Firearm,20472
1903,45891 ,63715 ,Aggravated Assault No Firearm,20496
1904,40691 ,15875 ,Robbery Firearm,20535
1905,38026 ,62906 ,Aggravated Assault No Firearm,20631
1906,60746 ,42947 ,Burglary Residential,20656
1907,68245 ,44994 ,Theft from Vehicle,20659
1908,19301 ,21427 ,Motor Vehicle Theft,20660
1909,57581 ,42147 ,Theft from Vehicle,20681
1910,65956 ,55164 ,Motor Vehicle Theft,20780
1911,33251 ,19938 ,Aggravated Assault No Firearm,20793
1912,15201 ,31572 ,Burglary Non-Residential,20802
1913,75244 ,53096 ,Robbery Firearm,20802
1914,28227 ,40995 ,Theft from Vehicle,20804
1915,14749 ,61827 ,Theft from Vehicle,20824
1916,18787 ,71723 ,Theft from Vehicle,20836
1917,58444 ,42059 ,Theft from Vehicle,20837
1918,55003 ,51586 ,Motor Vehicle Theft,20838
1919,43956 ,53850 ,Theft from Vehicle,20863
1920,65044 ,46670 ,Burglary Residential,20866
1921,37777 ,31904 ,Theft from Vehicle,20889
1922,37713 ,49934 ,Burglary Residential,20940
1923,85171 ,84487 ,Burglary Residential,20950
1924,68903 ,56885 ,Aggravated Assault No Firearm,20960
1925,40943 ,16992 ,Motor Vehicle Theft,20976
1926,37100 ,51036 ,Motor Vehicle Theft,20979
1927,27467 ,60311 ,Burglary Residential,20988
1928,31476 ,34615 ,Burglary Residential,21004
1929,68957 ,48502 ,Theft from Vehicle,21008
1930,101131 ,74219 ,Robbery No Firearm,21009
1931,60562 ,53111 ,Aggravated Assault Firearm,21028
1932,26385 ,45712 ,Theft from Vehicle,21032
1933,55512 ,39406 ,Burglary Residential,21039
1934,61063 ,46134 ,Theft from Vehicle,21057
1935,54630 ,36445 ,Theft from Vehicle,21058
1936,45404 ,26157 ,Theft from Vehicle,21060
1937,38835 ,16729 ,Burglary Non-Residential,21070
1938,37978 ,59050 ,Theft from Vehicle,21074
1939,38334 ,69127 ,Burglary Residential,21086
1940,81412 ,55663 ,Theft from Vehicle,21086
1941,56138 ,43150 ,Aggravated Assault Firearm,21095
1942,14473 ,34463 ,Theft from Vehicle,21099
1943,47468 ,30935 ,Motor Vehicle Theft,21100
1944,64152 ,49468 ,Rape,21110
1945,31094 ,40763 ,Burglary Residential,21122
1946,41021 ,27582 ,Aggravated Assault No Firearm,21127
1947,64404 ,45833 ,Aggravated Assault No Firearm,21134
1948,65091 ,45653 ,Motor Vehicle Theft,21149
1949,70842 ,63500 ,Burglary Residential,21153
1950,35832 ,56281 ,Theft from Vehicle,21168
1951,44896 ,18225 ,Theft from Vehicle,21169
1952,84141 ,65509 ,Burglary Residential,21183
1953,46303 ,15128 ,Theft from Vehicle,21202
1954,16539 ,41598 ,Burglary Residential,21203
1955,18213 ,23117 ,Motor Vehicle Theft,21232
1956,38811 ,13633 ,Aggravated Assault No Firearm,21233
1957,14815 ,26919 ,Burglary Residential,21244
1958,39978 ,45829 ,Burglary Residential,21250
1959,17315 ,32521 ,Theft from Vehicle,21260
1960,44419 ,43604 ,Robbery Firearm,21293
1961,73326 ,62750 ,Burglary Residential,21322
1962,35956 ,42992 ,Burglary Residential,21330
1963,44419 ,43604 ,Robbery Firearm,21331
1964,86070 ,51842 ,Theft from Vehicle,21332
